"nro" "x"      "y"
"205" 1106.815 981.356
"220" 1100.412 990.631
"221" 1103.203 993.133
"222" 1103.16 995.495
"231" 1102.806 1002.078
"232" 1102.009 1003.586
"233" 1104.173 1007.003
"234" 1100.75 1006.641
"241" 1102.7 1009.211
"242" 1109.746 1012.962
"243" 1100.696 1013.06
"245" 1108.82 1019.123
"262" 1104.847 1021.278
"266" 1101.232 1024.316
"267" 1104.977 1027.067
"268" 1109.241 1029.025
"269" 1101.059 1029.831
"338" 1109.968 983.567
"339" 1107.612 988.091
"340" 1109.137 992.169
"341" 1108.015 995.091
"342" 1109.219 1004.738
"358" 1138.301 984.089
"359" 1138.848 989.159
"360" 1141.335 990.406
"361" 1142.998 989.116
"362" 1144.782 990.115
"363" 1145.563 987.232
"371" 1130.684 982.873
"372" 1119.417 981.08
"373" 1123.426 983.901
"374" 1125.969 984.952
"375" 1129.203 987.776
"376" 1131.313 990.084
"377" 1125.087 987.58
"378" 1118.585 987.128
"379" 1121.992 988.91
"380" 1121.855 991.326
"381" 1117.394 991.641
"382" 1124.746 992.991
"383" 1130.485 993.169
"384" 1129.137 995.281
"385" 1122.185 994.135
"386" 1119.347 995.922
"387" 1117.673 997.481
"388" 1120.56 997.99
"389" 1120.496 1001.496
"390" 1125.071 1000.166
"391" 1128.155 999.035
"392" 1134.602 996.899
"393" 1127.418 1002.093
"394" 1133.58 1002.992
"395" 1129.028 1004.365
"396" 1127.781 1006.632
"397" 1121.588 1007.444
"398" 1117.576 1014.983
"399" 1126.797 1013.163
"400" 1128.469 1010.471
"401" 1126.526 1015.223
"402" 1127.6 1020.579
"403" 1123.382 1025.867
"405" 1131.044 1019.189
"406" 1133.941 1019.814
"407" 1135.705 1017.861
"408" 1137.241 1016.763
"409" 1139.221 1016.334
"410" 1140.123 1011.846
"411" 1137.92 1008.646
"412" 1137.943 1005.427
"413" 1146.124 1010.275
"414" 1147.014 1011.511
"415" 1147.767 1011.822
"416" 1145.19 1016.974
"417" 1150.479 1007.472
"418" 1152.948 1005.425
"419" 1150.048 1002.392
"420" 1150.489 998.307
"421" 1147.895 992.012
"422" 1149.509 990.892
"426" 1138.962 1029.152
"427" 1133.981 1026.569
"428" 1132.809 1024.983
"429" 1131.006 1019.118
"430" 1134.879 1020.618
"431" 1141.26 1024.045
"432" 1150.002 1025.181
"433" 1151.71 1020.532
"434" 1154.221 1019.813
"435" 1159.559 1016.493
"436" 1161.028 1009.897
"437" 1160.053 1007.116
"438" 1159.964 1005.306
"439" 1163.768 1015.024
"440" 1160.529 1019.598
"441" 1163.19 1024.971
"442" 1152.658 1028.493
"577" 1178.677 1028.045
"578" 1177.535 1019.064
"579" 1183.426 1021.549
"580" 1184.09 1028.82
"585" 1187.527 1029.791
"586" 1189.774 1028.753
"587" 1191.961 1025.776
"590" 1198.337 1025.063
"591" 1194.999 1023.836
"592" 1186.3 1016.631
"593" 1188.162 1015.394
"594" 1192.883 1019.013
"595" 1195.948 1019.362
"596" 1197.838 1018.532
"597" 1199.806 1015.348
"598" 1196.993 1014.795
"599" 1193.033 1015.641
"600" 1191.586 1014.204
"601" 1184.883 1013.759
"602" 1181.379 1013.157
"603" 1188.245 1011.272
"604" 1194.417 1008.106
"605" 1199.502 1008.195
"606" 1198.872 1004.71
"607" 1201.15 1001.599
"608" 1197.09 1000.19
"609" 1183.733 1009.644
"610" 1187.177 1005.783
"611" 1189.594 1003.306
"612" 1192.956 998.904
"613" 1188.507 997.754
"614" 1185.831 1001.796
"615" 1185.972 998.441
"616" 1185.21 998.325
"617" 1186.945 992.088
"618" 1188.941 989.068
"619" 1192.053 987.468
"620" 1186.331 986.958
"621" 1183.133 992.294
"622" 1181.854 993.588
"623" 1181.325 996.15
"624" 1179.217 997.377
"625" 1179.346 994.027
"626" 1176.613 1005.058
"627" 1176.449 1002.897
"628" 1176.65 1000.88
"629" 1172.874 995.73
"630" 1168.689 997.251
"631" 1167.434 997.086
"632" 1166.306 1002.669
"633" 1168.688 1005.216
"634" 1174.247 1016.54
"635" 1174.889 1009.951
"636" 1170.521 1003.899
"698" 1216.108 1026.737
"705" 1204.747 1028.294
"706" 1211.628 1029.872
"707" 1229.913 1025.367
"708" 1225.019 1023.759
"709" 1221.763 1023.19
"710" 1213.37 1024.941
"711" 1209.7 1025.215
"712" 1207.453 1024.244
"713" 1202.962 1022.386
